Title,Type,Init Date,Finish Date,Days Watched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Batman,Movie,07/03/2022,07/03/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiderman No Way Home,Movie,22/12/2021,22/12/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eternals,Movie,04/11/2021,04/11/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Time to Die 007,Movie,18/10/2021,18/10/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shang Chi,Movie,02/09/2021,02/09/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Suicide Squad,Movie,06/08/2021,06/08/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Widow,Movie,10/07/2021,10/07/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanda Vision ,TV Series,15/01/2021,05/03/2021,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalorian,TV Series,30/10/2020,18/12/2020,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Boba Fett,TV Series,29/12/2021,09/02/2022,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sopranos,TV Series,06/08/2021,21/12/2021,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacemaker,TV Series,13/01/2022,17/02/2022,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seinfeld,TV Series,06/07/2020,13/12/2020,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysthic Quest,TV Series,07/05/2021,25/06/2021,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys,TV Series,04/09/2020,09/10/2020,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Godfather,Movie,28/02/2022,28/02/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loki,TV Series,09/06/2021,14/07/2021,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daredevil,TV Series,05/01/2022,25/01/2022,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon and the Winter Soldier,TV Series,19/03/2021,03/04/2021,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What if?,TV Series,11/08/2021,06/10/2021,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disenchantment,TV Series,02/02/2022,20/02/2022,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community,TV Series,05/04/2020,16/06/2020,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions,TV Series,03/05/2020,14/06/2020,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick and Morty,TV Series,20/06/2021,05/09/2021,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawkeye,TV Series,24/11/2021,22/12/2021,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's always sunny in Philadelphia,TV Series,14/07/2020,18/04/2022,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitcom,Drama,Adventure,Crime,Sitcom
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy,,Comedy,Superheroe,Comedy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,Science Fiction,Action,Satire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animation,,Cringe
